"","ID","Snip","Head.l","Date"
"156",6,"Here's what you need to know.","Coronavirus, Iowa Caucuses, Kansas City Chiefs: Your Monday Briefing","2020-02-03"
"157",7,"Here’s what you need to know at the end of the day.","John Bolton, Coronavirus, Kobe Bryant: Your Monday Evening Briefing","2020-01-27"
"158",8,"Here’s what you need to know.","Wuhan Coronavirus, Australia Firefighters, Myanmar Ruling: Your Friday Briefing","2020-01-23"
"159",9,"Here’s what you need to know.","Wuhan Coronavirus, Iran Cover-Up, Kobe Bryant: Your Monday Briefing","2020-01-26"
"160",10,"Here's what you need to know.","John Roberts, Coronavirus, Mike Pompeo: Your Wednesday Briefing","2020-01-29"
"161",1,"The spread of the virus from China is bad news for Kim Jong-un; North Korea depends on Chinese tourists for cash.","North Korea Bans Foreign Tourists Over Coronavirus, Tour Operator Says","2020-01-21"
"162",2,"See how many delegates are available in each state.","Democratic Delegate Count and Primary Election Results 2020","2020-02-03"
"163",3,"Quotation of the Day for Friday, January 24, 2020.","Quotation of the Day: As Fears of Pandemic Grow, China Puts 20 Million on Lockdown","2020-01-24"
"164",4,"Coronavirus is scary. How we respond to it may be worse.","Beware the Pandemic Panic","2020-01-29"
"165",5,"Brexit, Coronavirus, Kobe Bryant: Here’s what you need to know.","Your Friday Briefing","2020-01-31"
"166",6,"In tweets and an interview with Sean Hannity, the president mocked the former New York mayor who seems to be on his mind.","Impeachment All but Behind Him, Trump Celebrates and Keeps Focus on Bloomberg","2020-02-03"
"167",7,"Coronavirus, Brexit, Super Bowl: Here’s what you need to know.","Your Monday Briefing","2020-02-03"
"168",8,"Coronavirus, Kobe Bryant, Auschwitz: Here’s what you need to know.","Your Tuesday Briefing","2020-01-28"
"169",9,"Test your knowledge of this week’s health news.","Weekly Health Quiz: Running, Body Temperature and a Deadly New Virus","2020-01-17"
"170",10,"The internet juggernaut enjoyed a stunning quarter where nearly every business worked. The results increased Jeff Bezos’ wealth by $13 billion in 15 minutes.","How Amazon Keeps Defying Gravity","2020-01-31"
"171",1,"Brexit, Coronavirus, Terry Jones: Here’s what you need to know.","Your Thursday Briefing","2020-01-23"
"172",2,"Here’s what you need to know at the end of the day.","Impeachment, Brexit, ‘The Good Place’: Your Thursday Evening Briefing","2020-01-30"
"173",3,"At Valentino, Pierpaolo Piccioli plays with expectations.","Of Ball Gowns and the Subconscious","2020-01-23"
"174",4,"The N.B.A. great was known for his feats on the court. But he had also been building a reputation as an investor and entrepreneur.","Kobe Bryant’s Death Cuts Short a Budding Business Career","2020-01-27"
"175",5,"Here’s what you need to know at the end of the day.","Impeachment, Wuhan, Jessica Simpson: Your Wednesday Evening Briefing","2020-01-29"
"176",6,"The central bank suggested it would remain patient after cutting rates three times in 2019.","Fed Leaves Interest Rates Unchanged","2020-01-29"
"177",7,"Here’s what you need to know at the end of the day.","Impeachment, China, Super Bowl: Your Friday Evening Briefing","2020-01-31"
